# grade=3	semester=2	base=20210800407
chapter	number	page	title
1. 삼각비	1	p.10	삼각비의 뜻
1. 삼각비	2	p.12	30°, 45°, 60°의 삼각비의 값
1. 삼각비	3	p.14	예각의 삼각비의 값
1. 삼각비	4	p.14	0°, 90°의 삼각비의 값
1. 삼각비	5	p.15	삼각비의 표를 이용한 삼각비의 값
2. 삼각비의 활용	6	p.28	직각삼각형에서 변의 길이
2. 삼각비의 활용	7	p.29	일반 삼각형에서 변의 길이
2. 삼각비의 활용	8	p.30	일반 삼각형의 높이
2. 삼각비의 활용	9	p.32	삼각비의 활용 - 삼각형의 넓이
2. 삼각비의 활용	10	p.33	삼각비의 활용 - 사각형의 넓이
3. 원과 직선	11	p.45	원의 중심과 현의 수직이등분선
3. 원과 직선	12	p.46	원의 중심과 현의 길이
3. 원과 직선	13	p.49	원의 접선
3. 원과 직선	14	p.50	삼각형의 내접원과 접선
3. 원과 직선	15	p.51	사각형의 내접원과 접선
4. 원주각	16	p.65~66	원주각과 중심각의 크기
4. 원주각	17	p.66	반원에 대한 원주각의 크기
4. 원주각	18	p.67	원주각의 크기와 호의 길이
4. 원주각	19	p.70	네 점이 한 원 위에 있을 조건
4. 원주각	20	p.71	원에 내접하는 사각형의 성질
4. 원주각	21	p.72	사각형이 원에 내접하기 위한 조건
4. 원주각	22	p.75	원의 접선과 현이 이루는 각
4. 원주각	23	p.76	두 원에서 공통인 접선과 현이 이루는 각
5. 통계	24	p.89	대푯값
5. 통계	25	p.90	중앙값
5. 통계	26	p.91	최빈값
5. 통계	27	p.94~95	산포도, 편차
5. 통계	28	p.96	분산과 표준편차
5. 통계	29	p.99~100	산점도와 상관관계
